IPP,7.77,27800
IPX,1.66,4100
IQC,6.25,7000
IQI,6.44,21600
IQM,6.32,32100
IQN,6.13,10400
IQT,6.75,18800
IR,1.67,1026200
IRF,,964900
IRL,,3400
IRM,,215400
IRT,,
ISH,3.18,6600
ISL,,6600
ISP,,
IT,,157500
ITA,,
ITG,,462300
ITPRB,,
ITT,1.11,368700
ITW,1.44,1859800
IVC,0.15,61400
JAH,,137100
JASA,,
JASB,,
JBL,,2038000
JBX,,100600
JCD,10.54,200800
JCI,1.84,608400
JCP,2.83,8195800
JDN,,
JDNPRA,,
JEC,,1256400
JEF,0.53,311700
JEQ,,17700
JFC,,14000
JFI,,26600
JH,1.26,151100
JHF,1.10,748800
JHI,6.36,4600
JHP,8.18,35000
JHS,5.91,9200
JLG,0.36,167600
JLL,,41200
JM,,
JNC,2.20,50100
JNJ,1.42,13150800
JNS,0.32,1058500
JNY,,539100
JOE,0.28,169000
JOF,,72500
JP,3.34,697100
JPM,5.12,13330600
JPMPRA,,
JPMPRH,,
JPMPRJ,,
JPMPRL,,
JPMPRN,,
JPS,8.29,326300
JPT,6.98,35500
JRC,,74800
JRL,7.91,2100
JTP,8.34,172500
JWA,,
JWB,,
JWL,,9100
JWN,2.38,480500
JYPPR,,
JYPPRZ,,
K,3.17,1439600
KBH,0.64,627600
KCC,10.31,24300
KCH,6.77,1900
KCJ,6.68,800
KCN,7.81,5400
KCO,6.74,0
KCP,,141100
KCS,,64000
KCT,7.10,2100
KCV,7.57,2600
KCW,9.21,700
KCX,7.13,3300
KDE,,139500
KDN,2.43,120900
KE,8.82,35200
KEF,,17900
KEG,,923600
KEI,1.27,25900
KEM,,173400
KEX,,103400
KEY,5.12,1379100
